year,state_po,pres_is_dem,pres_share,dem_share,is_midterm_x,simulated,pres_share_lag4,swing,dem_v,rep_v,is_midterm_y,gas_1m_nat,gas_3m_nat,gas_6m_nat,gas_yoy_nat,gas_W_nat,gas_up_nat,gas_down_nat,gas_W_padd1,gas_3m_padd1,gas_6m_padd1,gas_W_padd2,gas_3m_padd2,gas_6m_padd2,gas_W_padd3,gas_3m_padd3,gas_6m_padd3,gas_W_padd4,gas_3m_padd4,gas_6m_padd4,gas_W_padd5,gas_3m_padd5,gas_6m_padd5,spr_drawdown_3m_mb,spr_big_release,car,commute_min,rural,vehicles_hh,gas_exposure_idx,padd,unemp_rate,income_growth,gas_W_padd,gas_3m_padd,gas_6m_padd,gasW_nat_x_exp,gas3m_nat_x_exp,gasyoy_x_exp,gasup_x_exp,gasdown_x_exp,gasW_padd_x_exp,gas3m_padd_x_exp,gas6m_padd_x_exp
1978,AR,1,0.35991579114442085,0.35991579114442085,1,1,0.498880620630124,-0.13896482948570316,,,1,0.8693031056797943,0.8494588212214288,0.8379354040210495,0.10386909062851513,0.844906233086199,0.08179749196174457,0.0,,,,,,,,,,,,,,,,-7.048838340271487,0.0,0.912,22.2,0.432,2.1,1.296569526891484,3,5.308708481648579,6.082994298840866,,,,1.0954796749002391,1.1013824219448658,0.13467349769486253,0.10605613545374913,0.0,,,
1982,AR,0,0.5567448730061721,0.44325512699382785,1,1,0.35991579114442085,0.1968290818617513,,,1,1.2264370400705893,1.2630051426220712,1.258107679548761,-0.09526084504710253,1.2556295072510915,0.0,-0.1291327209556592,,,,,,,,,,,,,,,,62.13425872740373,1.0,0.912,22.2,0.432,2.1,1.296569526891484,3,8.333934781882867,-3.117506565256841,,,,1.6280109561675349,1.6375739802310103,-0.1235123087940047,0.0,-0.1674295509156891,,,
1986,AR,0,0.5235451907644673,0.47645480923553274,1,1,0.5567448730061721,-0.033199682241704886,,,1,1.0112896670181926,0.996666882063704,0.9683070161787384,0.010827095919767826,0.9813733653455925,0.01083205057687242,0.0,,,,,,,,,,,,,,,,-4.119999999999948,0.0,0.912,22.2,0.432,2.1,1.296569526891484,3,5.042713764764564,3.7580335392300226,,,,1.2724188000100385,1.2922479077457474,0.014038082634302089,0.014044506691720101,0.0,,,
1990,AR,0,0.5480885453351082,0.4519114546648918,1,1,0.5235451907644673,0.02454335457064094,,,1,1.3392499999999998,1.2745613503088766,1.1781809175954556,0.22711545236517905,1.2240565473093878,0.24786939891744542,0.0,,,,,,,,,,,,,,,,-2.687999999999988,0.0,0.912,22.2,0.432,2.1,1.296569526891484,3,7.211081496759134,1.6517124612449052,,,,1.5870744184333565,1.6525574069641513,0.2944709746228656,0.3213799092852687,0.0,,,
1974,AZ,0,0.4603827893171018,0.5396172106828983,1,1,,,,,1,0.5812676538956378,0.5777368757803456,0.572881530682638,0.4916312445677211,0.5757845545801038,0.1915817606746958,0.0,,,,,,,,,,,,,,,,,,0.904,26.5,0.101,1.9,0.5291719776679399,5,3.7774149917377304,0.04348029888295302,,,,0.3046890514578074,0.3057221651283824,0.2601574779712516,0.10137969918133473,0.0,,,
1978,AZ,1,0.43914279219500074,0.43914279219500074,1,1,0.4603827893171018,-0.021239997122101062,,,1,0.8693031056797943,0.8494588212214288,0.8379354040210495,0.10386909062851513,0.844906233086199,0.08179749196174457,0.0,,,,,,,,,,,,,,,,-7.048838340271487,0.0,0.904,26.5,0.101,1.9,0.5291719776679399,5,7.0417784584974505,2.6049609872243504,,,,0.44710070230619336,0.44950980437322047,0.05496461210646183,0.04328494058967379,0.0,,,
1982,AZ,0,0.450486661420715,0.549513338579285,1,1,0.43914279219500074,0.011343869225714232,,,1,1.2264370400705893,1.2630051426220712,1.258107679548761,-0.09526084504710253,1.2556295072510915,0.0,-0.1291327209556592,,,,,,,,,,,,,,,,62.13425872740373,1.0,0.904,26.5,0.101,1.9,0.5291719776679399,5,9.328959591156718,-0.5884859560978615,,,,0.664443949570281,0.6683469291260999,-0.05040936976789442,0.0,-0.0683334173297484,,,
1986,AZ,0,0.5407089036498492,0.45929109635015075,1,1,0.450486661420715,0.09022224222913428,,,1,1.0112896670181926,0.996666882063704,0.9683070161787384,0.010827095919767826,0.9813733653455925,0.01083205057687242,0.0,,,,,,,,,,,,,,,,-4.119999999999948,0.0,0.904,26.5,0.101,1.9,0.5291719776679399,5,5.896975390226281,2.2334507372088375,,,,0.5193152845705689,0.5274081850577896,0.005729395760264024,0.005732017625962728,0.0,,,
1990,AZ,0,0.5098985739277863,0.49010142607221374,1,1,0.5407089036498492,-0.03081032972206299,,,1,1.3392499999999998,1.2745613503088766,1.1781809175954556,0.22711545236517905,1.2240565473093878,0.24786939891744542,0.0,,,,,,,,,,,,,,,,-2.687999999999988,0.0,0.904,26.5,0.101,1.9,0.5291719776679399,5,5.335357662198451,3.1873117149878274,,,,0.647736423917099,0.6744621504020681,0.12018313308703059,0.1311655400285081,0.0,,,
1974,CA,0,0.4361884723013047,0.5638115276986952,1,1,,,,,1,0.5812676538956378,0.5777368757803456,0.572881530682638,0.4916312445677211,0.5757845545801038,0.1915817606746958,0.0,,,,,,,,,,,,,,,,,,0.856,29.8,0.051,1.8,-0.19701647915869921,5,3.72929109470459,-4.205301008916687,,,,-0.11343904569733193,-0.11382368514639046,-0.09685945684914178,-0.037744763959153105,-0.0,,,
1978,CA,1,0.6073008050648429,0.6073008050648429,1,1,0.4361884723013047,0.17111233276353816,,,1,0.8693031056797943,0.8494588212214288,0.8379354040210495,0.10386909062851513,0.844906233086199,0.08179749196174457,0.0,,,,,,,,,,,,,,,,-7.048838340271487,0.0,0.856,29.8,0.051,1.8,-0.19701647915869921,5,5.802584598342065,7.741561704898256,,,,-0.1664604512618822,-0.16735738614734483,-0.02046392252904589,-0.016115453870314916,-0.0,,,
1982,CA,0,0.32422899746626904,0.6757710025337309,1,1,0.6073008050648429,-0.2830718075985738,,,1,1.2264370400705893,1.2630051426220712,1.258107679548761,-0.09526084504710253,1.2556295072510915,0.0,-0.1291327209556592,,,,,,,,,,,,,,,,62.13425872740373,1.0,0.856,29.8,0.051,1.8,-0.19701647915869921,5,11.216670324094817,-3.248478617078054,,,,-0.24737970464638243,-0.24883282635873122,0.01876795629286255,-0.0,0.02544127402686675,,,
1986,CA,0,0.34143773083625734,0.6585622691637427,1,1,0.32422899746626904,0.017208733369988294,,,1,1.0112896670181926,0.996666882063704,0.9683070161787384,0.010827095919767826,0.9813733653455925,0.01083205057687242,0.0,,,,,,,,,,,,,,,,-4.119999999999948,0.0,0.856,29.8,0.051,1.8,-0.19701647915869921,5,8.836662261197274,3.897574633798218,,,,-0.19334672518051244,-0.19635979999826947,-0.0021331163176261754,-0.002134092466724361,-0.0,,,
1990,CA,0,0.3540197430344646,0.6459802569655354,1,1,0.34143773083625734,0.01258201219820726,,,1,1.3392499999999998,1.2745613503088766,1.1781809175954556,0.22711545236517905,1.2240565473093878,0.24786939891744542,0.0,,,,,,,,,,,,,,,,-2.687999999999988,0.0,0.856,29.8,0.051,1.8,-0.19701647915869921,5,4.317168802134807,0.6461963119598715,,,,-0.24115931124204934,-0.25110958970961234,-0.04474548678752284,-0.04883435626589819,-0.0,,,
1974,CO,0,0.4397004301325431,0.5602995698674569,1,1,,,,,1,0.5812676538956378,0.5777368757803456,0.572881530682638,0.4916312445677211,0.5757845545801038,0.1915817606746958,0.0,,,,,,,,,,,,,,,,,,0.863,25.1,0.141,1.9,-0.16012238815336763,4,5.455341928780298,-0.7126621357422209,,,,-0.09219599794118927,-0.09250860827421443,-0.07872116897099585,-0.03067652904585922,-0.0,,,
1978,CO,1,0.4350738335619907,0.4350738335619907,1,1,0.4397004301325431,-0.0046265965705524215,,,1,0.8693031056797943,0.8494588212214288,0.8379354040210495,0.10386909062851513,0.844906233086199,0.08179749196174457,0.0,,,,,,,,,,,,,,,,-7.048838340271487,0.0,0.863,25.1,0.141,1.9,-0.16012238815336763,4,6.2301012646858585,3.0763650252625836,,,,-0.13528840380742807,-0.13601737509191975,-0.016631766846756418,-0.013097609757870433,-0.0,,,
1982,CO,0,0.4574239354077094,0.5425760645922906,1,1,0.4350738335619907,0.02235010184571873,,,1,1.2264370400705893,1.2630051426220712,1.258107679548761,-0.09526084504710253,1.2556295072510915,0.0,-0.1291327209556592,,,,,,,,,,,,,,,,62.13425872740373,1.0,0.863,25.1,0.141,1.9,-0.16012238815336763,4,7.818655601447546,-3.649986880348651,,,,-0.201054395336881,-0.20223539968663073,0.015253394006449959,-0.0,0.02067703966816257,,,
1986,CO,0,0.4611395096640619,0.5388604903359381,1,1,0.4574239354077094,0.003715574256352494,,,1,1.0112896670181926,0.996666882063704,0.9683070161787384,0.010827095919767826,0.9813733653455925,0.01083205057687242,0.0,,,,,,,,,,,,,,,,-4.119999999999948,0.0,0.863,25.1,0.141,1.9,-0.16012238815336763,4,5.720230364782557,4.010357282142234,,,,-0.15713984692924363,-0.1595886813494111,-0.0017336604554388068,-0.0017344538069668754,-0.0,,,
1990,CO,0,0.4934549501241157,0.5065450498758843,1,1,0.4611395096640619,0.0323154404600538,,,1,1.3392499999999998,1.2745613503088766,1.1781809175954556,0.22711545236517905,1.2240565473093878,0.24786939891744542,0.0,,,,,,,,,,,,,,,,-2.687999999999988,0.0,0.863,25.1,0.141,1.9,-0.16012238815336763,4,5.01518290543704,1.5592059099490645,,,,-0.1959988575899448,-0.2040858072594383,-0.03636626861924488,-0.03968944010480112,-0.0,,,
1974,CT,0,0.32132070702214577,0.6786792929778542,1,1,,,,,1,0.5812676538956378,0.5777368757803456,0.572881530682638,0.4916312445677211,0.5757845545801038,0.1915817606746958,0.0,,,,,,,,,,,,,,,,,,0.841,26.2,0.121,1.8,-0.585601098645765,1,5.346629897484912,-1.3794289321537865,,,,-0.33718006774537124,-0.3383233491851423,-0.2878997969474423,-0.11219048953159187,-0.0,,,
1978,CT,1,0.48521580013369087,0.48521580013369087,1,1,0.32132070702214577,0.1638950931115451,,,1,0.8693031056797943,0.8494588212214288,0.8379354040210495,0.10386909062851513,0.844906233086199,0.08179749196174457,0.0,,,,,,,,,,,,,,,,-7.048838340271487,0.0,0.841,26.2,0.121,1.8,-0.585601098645765,1,4.483240740818009,3.7386896909921434,,,,-0.494778018347933,-0.4974440189616052,-0.06082585358739499,-0.04790070115926576,-0.0,,,
1982,CT,0,0.38546188522536956,0.6145381147746305,1,1,0.48521580013369087,-0.0997539149083213,,,1,1.2264370400705893,1.2630051426220712,1.258107679548761,-0.09526084504710253,1.2556295072510915,0.0,-0.1291327209556592,,,,,,,,,,,,,,,,62.13425872740373,1.0,0.841,26.2,0.121,1.8,-0.585601098645765,1,9.54263517749896,-2.2450912781155417,,,,-0.7352980189382797,-0.7396171991147361,0.055784855517507226,-0.0,0.07562026326275104,,,
1986,CT,0,0.3828840071741419,0.617115992825858,1,1,0.38546188522536956,-0.0025778780512276667,,,1,1.0112896670181926,0.996666882063704,0.9683070161787384,0.010827095919767826,0.9813733653455925,0.01083205057687242,0.0,,,,,,,,,,,,,,,,-4.119999999999948,0.0,0.841,26.2,0.121,1.8,-0.585601098645765,1,7.186731588579593,3.220594154421458,,,,-0.5746933209280707,-0.5836492211203542,-0.006340359265759119,-0.006343260718402983,-0.0,,,
1990,CT,0,0.39252817838976917,0.6074718216102308,1,1,0.3828840071741419,0.009644171215627273,,,1,1.3392499999999998,1.2745613503088766,1.1781809175954556,0.22711545236517905,1.2240565473093878,0.24786939891744542,0.0,,,,,,,,,,,,,,,,-2.687999999999988,0.0,0.841,26.2,0.121,1.8,-0.585601098645765,1,4.580828939198723,1.1686162776428903,,,,-0.7168088589089194,-0.746384527032308,-0.13299905842447876,-0.14515259232672145,-0.0,,,
1974,DE,0,0.3344353894002593,0.6655646105997407,1,1,,,,,1,0.5812676538956378,0.5777368757803456,0.572881530682638,0.4916312445677211,0.5757845545801038,0.1915817606746958,0.0,,,,,,,,,,,,,,,,,,0.852,25.8,0.171,1.9,-0.20765657002166232,1,5.145074617525407,-2.3863089324996176,,,,-0.11956544567555498,-0.11997085799957777,-0.10209045796241398,-0.03978321130041832,-0.0,,,
1978,DE,1,0.5414550501548884,0.5414550501548884,1,1,0.3344353894002593,0.20701966075462908,,,1,0.8693031056797943,0.8494588212214288,0.8379354040210495,0.10386909062851513,0.844906233086199,0.08179749196174457,0.0,,,,,,,,,,,,,,,,-7.048838340271487,0.0,0.852,25.8,0.171,1.9,-0.20765657002166232,1,6.606636946827252,4.414217137174221,,,,-0.17545033035260324,-0.17639570518948636,-0.02156909909118664,-0.01698578661715037,-0.0,,,
1982,DE,0,0.33006831214037136,0.6699316878596286,1,1,0.5414550501548884,-0.21138673801451702,,,1,1.2264370400705893,1.2630051426220712,1.258107679548761,-0.09526084504710253,1.2556295072510915,0.0,-0.1291327209556592,,,,,,,,,,,,,,,,62.13425872740373,1.0,0.852,25.8,0.171,1.9,-0.20765657002166232,1,8.37349290383354,-2.2875075229983164,,,,-0.2607397166937516,-0.2622713158366197,0.01978154033984637,-0.0,0.026815257911216625,,,
1986,DE,0,0.4099763581736371,0.5900236418263629,1,1,0.33006831214037136,0.07990804603326573,,,1,1.0112896670181926,0.996666882063704,0.9683070161787384,0.010827095919767826,0.9813733653455925,0.01083205057687242,0.0,,,,,,,,,,,,,,,,-4.119999999999948,0.0,0.852,25.8,0.171,1.9,-0.20765657002166232,1,6.793855573680369,2.3768797611206587,,,,-0.20378862695828143,-0.20696442618353342,-0.002248317601994522,-0.0022493464690944956,-0.0,,,
1990,DE,0,0.3666794712547225,0.6333205287452774,1,1,0.4099763581736371,-0.04329688691891459,,,1,1.3392499999999998,1.2745613503088766,1.1781809175954556,0.22711545236517905,1.2240565473093878,0.24786939891744542,0.0,,,,,,,,,,,,,,,,-2.687999999999988,0.0,0.852,25.8,0.171,1.9,-0.20765657002166232,1,4.738248292061281,0.9914496724484096,,,,-0.2541833841268261,-0.26467103828731975,-0.04716201583707132,-0.05147170919252785,-0.0,,,
1974,FL,0,0.46125748518448506,0.5387425148155149,1,1,,,,,1,0.5812676538956378,0.5777368757803456,0.572881530682638,0.4916312445677211,0.5757845545801038,0.1915817606746958,0.0,,,,,,,,,,,,,,,,,,0.888,27.4,0.091,1.8,0.20671560139753756,1,6.287578641268122,-2.4265189856050196,,,,0.11902365047543945,0.11942722572646859,0.10162784838663634,0.03960293887466885,0.0,,,
1978,FL,1,0.34924017043617395,0.34924017043617395,1,1,0.46125748518448506,-0.11201731474831111,,,1,0.8693031056797943,0.8494588212214288,0.8379354040210495,0.10386909062851513,0.844906233086199,0.08179749196174457,0.0,,,,,,,,,,,,,,,,-7.048838340271487,0.0,0.888,27.4,0.091,1.8,0.20671560139753756,1,5.727462360156297,1.6580806183561658,,,,0.1746553000969417,0.17559639109123099,0.021471361535888838,0.016908817743682275,0.0,,,
1982,FL,0,0.5059320602137997,0.49406793978620034,1,1,0.34924017043617395,0.15669188977762571,,,1,1.2264370400705893,1.2630051426220712,1.258107679548761,-0.09526084504710253,1.2556295072510915,0.0,-0.1291327209556592,,,,,,,,,,,,,,,,62.13425872740373,1.0,0.888,27.4,0.091,1.8,0.20671560139753756,1,9.498530404339888,0.8711983037126534,,,,0.2595582087239031,0.26108286762530414,-0.019691902873549435,0.0,-0.02669374807244949,,,
1986,FL,0,0.5185352934487284,0.4814647065512716,1,1,0.5059320602137997,0.012603233234928735,,,1,1.0112896670181926,0.996666882063704,0.9683070161787384,0.010827095919767826,0.9813733653455925,0.01083205057687242,0.0,,,,,,,,,,,,,,,,-4.119999999999948,0.0,0.888,27.4,0.091,1.8,0.20671560139753756,1,8.952745177043903,1.418236777280814,,,,0.2028651854129395,0.2060265939188072,0.0022381296444436314,0.002239153849366726,0.0,,,
1990,FL,0,0.48423840362797776,0.5157615963720222,1,1,0.5185352934487284,-0.03429688982075063,,,1,1.3392499999999998,1.2745613503088766,1.1781809175954556,0.22711545236517905,1.2240565473093878,0.24786939891744542,0.0,,,,,,,,,,,,,,,,-2.687999999999988,0.0,0.888,27.4,0.091,1.8,0.20671560139753756,1,6.657086056153313,0.11861226531335844,,,,0.2530315853216535,0.26347171604715697,0.04694830732234178,0.051238471865265874,0.0,,,
1974,GA,0,0.49688342408816644,0.5031165759118336,1,1,,,,,1,0.5812676538956378,0.5777368757803456,0.572881530682638,0.4916312445677211,0.5757845545801038,0.1915817606746958,0.0,,,,,,,,,,,,,,,,,,0.899,28.0,0.251,1.9,0.9270837517852482,1,5.294853066602305,0.07732774957521071,,,,0.5338005050801207,0.5356104703431307,0.4557833387086938,0.1776123374599205,0.0,,,
1978,GA,1,0.4609735564231503,0.4609735564231503,1,1,0.49688342408816644,-0.03590986766501614,,,1,0.8693031056797943,0.8494588212214288,0.8379354040210495,0.10386909062851513,0.844906233086199,0.08179749196174457,0.0,,,,,,,,,,,,,,,,-7.048838340271487,0.0,0.899,28.0,0.251,1.9,0.9270837517852482,1,5.9705813839611,3.652789442429743,,,,0.7832988404762948,0.7875194709650366,0.09629534623440576,0.07583312573451784,0.0,,,
1982,GA,0,0.5307684145291885,0.46923158547081145,1,1,0.4609735564231503,0.06979485810603825,,,1,1.2264370400705893,1.2630051426220712,1.258107679548761,-0.09526084504710253,1.2556295072510915,0.0,-0.1291327209556592,,,,,,,,,,,,,,,,62.13425872740373,1.0,0.899,28.0,0.251,1.9,0.9270837517852482,1,8.800933280549792,-3.7188111007968407,,,,1.1640737144346043,1.1709115461461321,-0.08831478162450099,0.0,-0.11971684742181006,,,
1986,GA,0,0.5701413033571943,0.42985869664280574,1,1,0.5307684145291885,0.039372888828005714,,,1,1.0112896670181926,0.996666882063704,0.9683070161787384,0.010827095919767826,0.9813733653455925,0.01083205057687242,0.0,,,,,,,,,,,,,,,,-4.119999999999948,0.0,0.899,28.0,0.251,1.9,0.9270837517852482,1,7.89432261271253,1.8331616938816953,,,,0.909815301446707,0.9239936723037242,0.010037624706237109,0.010042218088334446,0.0,,,
1990,GA,0,0.5202611605663051,0.4797388394336949,1,1,0.5701413033571943,-0.04988014279088915,,,1,1.3392499999999998,1.2745613503088766,1.1781809175954556,0.22711545236517905,1.2240565473093878,0.24786939891744542,0.0,,,,,,,,,,,,,,,,-2.687999999999988,0.0,0.899,28.0,0.251,1.9,0.9270837517852482,1,4.231615398663642,1.9943948563335234,,,,1.1348029362768843,1.1816251185248252,0.210555045667114,0.22979569230113964,0.0,,,
1974,HI,0,0.20376583400916043,0.7962341659908396,1,1,,,,,1,0.5812676538956378,0.5777368757803456,0.572881530682638,0.4916312445677211,0.5757845545801038,0.1915817606746958,0.0,,,,,,,,,,,,,,,,,,0.735,27.3,0.081,1.7,-2.41436791133099,5,6.267367989257784,-2.5796105009867105,,,,-1.3901557524182098,-1.3948693740766847,-1.186978701092024,-0.4625488553692789,-0.0,,,
1978,HI,1,0.6796916605470884,0.6796916605470884,1,1,0.20376583400916043,0.475925826537928,,,1,0.8693031056797943,0.8494588212214288,0.8379354040210495,0.10386909062851513,0.844906233086199,0.08179749196174457,0.0,,,,,,,,,,,,,,,,-7.048838340271487,0.0,0.735,27.3,0.081,1.7,-2.41436791133099,5,5.828128512172432,4.680325789935841,,,,-2.039914497246861,-2.050906119954066,-0.25077819939261736,-0.1974892398197907,-0.0,,,
1982,HI,0,0.24125498203258722,0.7587450179674128,1,1,0.6796916605470884,-0.4384366785145012,,,1,1.2264370400705893,1.2630051426220712,1.258107679548761,-0.09526084504710253,1.2556295072510915,0.0,-0.1291327209556592,,,,,,,,,,,,,,,,62.13425872740373,1.0,0.735,27.3,0.081,1.7,-2.41436791133099,5,9.810352983237129,-1.2226799391887537,,,,-3.031551590827378,-3.0493590881927495,0.229994727487998,-0.0,0.31177389777820247,,,
1986,HI,0,0.23814499854428797,0.761855001455712,1,1,0.24125498203258722,-0.003109983488299245,,,1,1.0112896670181926,0.996666882063704,0.9683070161787384,0.010827095919767826,0.9813733653455925,0.01083205057687242,0.0,,,,,,,,,,,,,,,,-4.119999999999948,0.0,0.735,27.3,0.081,1.7,-2.41436791133099,5,6.248197771709323,3.8519600283776567,,,,-2.3693963623253027,-2.4063205383409154,-0.02614059296159013,-0.026152555326715114,-0.0,,,
1990,HI,0,0.27079286539426956,0.7292071346057305,1,1,0.23814499854428797,0.03264786684998158,,,1,1.3392499999999998,1.2745613503088766,1.1781809175954556,0.22711545236517905,1.2240565473093878,0.24786939891744542,0.0,,,,,,,,,,,,,,,,-2.687999999999988,0.0,0.735,27.3,0.081,1.7,-2.41436791133099,5,4.781568688620021,-0.34141145055424094,,,,-2.95532284947839,-3.077260025208449,-0.5483402603579103,-0.5984479229471806,-0.0,,,
1974,IA,0,0.3777039720766549,0.6222960279233452,1,1,,,,,1,0.5812676538956378,0.5777368757803456,0.572881530682638,0.4916312445677211,0.5757845545801038,0.1915817606746958,0.0,,,,,,,,,,,,,,,,,,0.892,19.2,0.361,2.1,0.5500993989722945,2,5.827033983434484,1.0476413749952045,,,,0.31673873741204545,0.3178127081308993,0.2704460521527045,0.10538901140120413,0.0,,,
1978,IA,1,0.4993207385494627,0.4993207385494627,1,1,0.3777039720766549,0.12161676647280778,,,1,0.8693031056797943,0.8494588212214288,0.8379354040210495,0.10386909062851513,0.844906233086199,0.08179749196174457,0.0,,,,,,,,,,,,,,,,-7.048838340271487,0.0,0.892,19.2,0.361,2.1,0.5500993989722945,2,4.768714562286942,3.405333125100546,,,,0.4647824110086635,0.46728678700562176,0.05713832432654496,0.04499675116559678,0.0,,,
1982,IA,0,0.4667566699387111,0.5332433300612889,1,1,0.4993207385494627,-0.03256406861075156,,,1,1.2264370400705893,1.2630051426220712,1.258107679548761,-0.09526084504710253,1.2556295072510915,0.0,-0.1291327209556592,,,,,,,,,,,,,,,,62.13425872740373,1.0,0.892,19.2,0.361,2.1,0.5500993989722945,2,9.558237186981259,-1.7480929483444068,,,,0.6907210372707038,0.6947783698553185,-0.05240293360600398,0.0,-0.07103583218536515,,,
